0; 332.7042423534342; N1_0_2
2; 359.99487427992005; N2_0_3
#2; 359.98515034145277; N3_0_3
#3; 358.9938377254717; N3_1_3
4; 351.86797392650874; N4_0_3
6; 351.868474017781; N4_0_4
#6; 351.03762422040063; N5_0_2
#7; 351.03695455906677; N5_1_2
#8; 343.4096504673543; N5_2_2
#9; 343.3148555545681; N5_3_2
#10; 355.0730787617571; N6_0_7
#11; 356.8582622046504; N6_1_7
#12; 355.06081347564975; N6_2_7
#13; 356.8599660815023; N6_3_7
#14; 349.9007184946622; N6_4_7
#15; 349.89632800271056; N6_5_7
#16; 350.3319239806786; N7_0_7
#17; 350.3323696061725; N7_1_7
#18; 342.4107009448543; N7_2_7
#
8; 331.63347480715663; N8_0_7
9; 331.6301524345025; N8_1_7
#
11; 338.6485847813062; N9_0_7
12; 338.514454207271; N9_1_7
#
14; 347.0651610251648; N9_0_8
15; 346.8589791897291; N9_1_8
#
17; 351.117634172443; N10_0_7
#
19; 359.9999418456549; N11_0_7
20; 358.624041980937; N11_1_7
21; 359.9965131792803; N11_2_7
#
23; 355.64311035629845; N12_0_7
